常見問題,解答
有什麼付款方式？,我們接受信用卡（Visa、MasterCard）、PayPal、Apple Pay 和 Google Pay。
支援分期付款嗎？,目前暫不支援分期付款，敬請見諒。
可以使用信用卡/PayPal/Apple Pay 嗎？,可以，我們支援這些主流付款方式。
下單後可以修改訂單嗎？,訂單確認後即無法修改，如需協助請聯絡客服。
可以取消訂單嗎？,如訂單尚未出貨，可聯絡客服申請取消。
如何查詢訂單狀態？,登入帳號後可於「我的訂單」中查詢最新狀態。
有最低消費限制嗎？,沒有最低消費限制，歡迎自由選購。
有提供禮品包裝嗎？,部分商品提供禮品包裝服務，請在結帳時選擇。
可否開立發票或收據？,可於結帳頁面勾選開立電子發票或收據。
怎樣使用優惠碼？,在結帳頁面輸入優惠碼並點選『套用』即可享有折扣。
幾時會出貨？,一般於訂單成立後1-3個工作天內出貨。
出貨地點在哪裡？,我們的出貨倉位於香港/台灣/加拿大，視地區而定。
有提供哪幾種配送方式？,提供順豐速運、宅配、超商取貨等方式。
有提供海外配送嗎？,有的，請參閱配送政策或聯絡客服確認運費。
有提供當日送達或即日快遞嗎？,部分地區提供即日送達，請聯絡客服查詢。
運費怎樣計算？,運費依照地區及重量計算，滿額可免運費。
滿額免運門檻是多少？,單筆消費滿HKD500（或其他幣別等值）即可免運。
出貨後會提供追蹤碼嗎？,會的，系統將發送追蹤碼到您的電子郵箱。
沒收到包裹怎麼辦？,請先確認追蹤資訊，若有問題可聯絡客服協助。
包裹寄失或破損怎麼處理？,請拍照並聯絡客服，我們將盡快協助補發或退款。
包裹寄失或破損怎麼處理？,請拍照並聯絡客服，我們將盡快協助補發或退款。
可以退貨嗎？,可以，請於收到商品後7天內申請退貨。
退貨期限是多少天？,退貨期限為收到商品起算7天內。
哪些商品不能退換？,貼身衣物、特價品及客製商品不接受退換。
退貨需自付運費嗎？,若非商品瑕疵，退貨運費需由買家自行負擔。
怎樣辦理退貨？,請聯絡客服並提供訂單編號與退貨原因，我們會提供退貨指引。
可以門市退貨嗎？,視門市政策而定，請先聯絡客服確認。
換貨流程是怎樣？,請先申請退貨，確認後可重新下單換購。
退貨後幾時會收到退款？,我們在收到退貨後5個工作天內辦理退款。
換貨會不會額外收費？,若非商品問題，需自付換貨來回運費。
有缺貨可以換其他商品嗎？,可以，我們會提供等值商品或補差價選項。
有提供試穿服務嗎？,門市提供試穿，網購可參考尺寸表及客服建議。
沒有我想要的尺寸，會再補貨嗎？,熱門商品會定期補貨，建議加入到貨通知名單。
商品會縮水/變形嗎？,請依洗標建議清洗，多數商品不會縮水或變形。
衣服尺碼偏大還是偏小？,如有偏差，商品頁面會特別註明。
如何選擇適合的尺寸？,可參考尺寸表，或聯絡客服提供身高體重協助建議。
有尺寸表可以參考嗎？,有的，請見商品頁面下方『尺寸說明』欄位。
某款商品有其他顏色嗎？,如有其他顏色，會顯示於商品選項中。
商品是什麼材質？,商品材質標示於產品說明，歡迎查詢。
這款適合什麼季節穿？,商品說明會註明適合的季節與搭配建議。
商品是否容易起毛球？,請參照洗滌建議，避免與粗糙衣物同洗可減少起毛球。
衣服可以機洗嗎？,大部分商品可機洗，請依洗標說明為準。
可以烘乾嗎？,建議自然晾乾，部分材質不適合高溫烘乾。
建議怎樣保養皮衣/羊毛衫？,皮衣應定期上油保養，羊毛衫建議乾洗保存型態。
洗滌標籤不見了怎麼辦？,請聯絡客服提供商品照片與訂單，我們可查詢相關資訊。
哪些商品需要乾洗？,絲質、羊毛、皮革類建議乾洗處理。
有哪些分店？地址是？,我們在多個地區設有門市，詳情請見『門市資訊』頁面。
開店時間是幾點？,門市營業時間為每日11:00至20:00，部分分店略有不同。
門市有提供試衣服務嗎？,有的，門市設有試衣間供顧客使用。
門市商品和網店一樣嗎？,部分商品僅限網路販售，門市存貨以現場為準。
門市可以退換網購商品嗎？,可至指定門市辦理，請攜帶訂單資料與商品。
可以用手機下單嗎？,可以，我們網站支援行動裝置操作。
有 APP 可以下載嗎？,目前尚無APP，建議使用手機版網站購物。
登入一直失敗怎麼辦？,請檢查帳號密碼或清除快取後再試，仍有問題可聯絡客服。
忘記密碼怎麼辦？,點選登入頁面中的『忘記密碼』即可重設。
怎樣查看購物紀錄？,登入後前往『我的訂單』可查詢購買紀錄。
有做折扣活動嗎？,我們不定期推出限時折扣與滿額優惠，歡迎追蹤我們。
生日有優惠嗎？,會員生日當月享有專屬折扣，請至會員專區查詢。
會員有什麼好處？,會員可享專屬優惠、紅利點數與生日禮遇。
怎樣成為會員？,註冊網站帳號即自動成為一般會員。
有積分制度嗎？怎樣使用？,有的，購物可累積點數並於下次折抵消費。
模特兒身高體重多少？,商品頁會標示模特兒身高體重與所穿尺寸。
模特兒穿的是什麼尺碼？,模特兒所穿尺寸會標示於每件商品說明中。
圖片顏色會與實物有差嗎？,由於顯示器設定不同，實物顏色可能略有差異。
可以看實穿影片嗎？,部分熱銷商品有搭配穿搭影片，請見商品頁或社群平台。
有用戶評價嗎？,有的，歡迎參考每款商品下方的顧客留言。
怎樣聯絡你們？,可透過客服信箱、網站表單或社群私訊聯絡我們。
有客服電話嗎？,目前僅提供線上客服，未設客服電話。
客服時間是什麼時段？,客服服務時間為週一至週五 10:00–18:00。
回應速度快嗎？,我們會於24小時內回覆所有訊息，假日可能稍有延遲。
有線上客服嗎？,網站右下角設有即時對話功能，歡迎洽詢。
付款安全嗎？,我們採用 SSL 加密技術，確保交易過程安全。
會保護我的個人資料嗎？,我們嚴格遵守隱私政策，不會將資料外洩。
會收到推銷電話/郵件嗎？,僅向訂閱者寄送優惠資訊，可隨時取消。
如何取消訂閱電郵？,可於信件底部點選『取消訂閱』連結。
購買時需要註冊會員嗎？,可選擇訪客購買，但會員可享更多優惠與功能。
預購商品何時出貨？,商品頁會註明預計出貨時間，請參考說明。
可以取消預購嗎？,如商品尚未到貨，可申請取消並退款。
缺貨商品會再補嗎？,熱門商品會補貨，可點選『貨到通知我』登記。
可以通知我補貨嗎？,可以，登入後點選商品頁『貨到通知我』即可。
補貨後價格會改變嗎？,視供應情況而定，我們會於商品頁更新價格。
鞋碼是歐碼還是日碼？,我們提供歐碼及日碼對照表，請參考商品頁。
鞋子穿起來會磨腳嗎？,舒適度因人而異，可參考顧客評價。
有沒有防水功能？,部分鞋款具防潑水功能，詳情見商品頁說明。
鞋子可以退換嗎？,可於7天內辦理退換，請保持鞋子未穿出門且包裝完整。
配件有保養建議嗎？,每款配件建議保養方式皆列於商品說明中。
有自家品牌嗎？,有的，我們推出多款自有品牌，設計風格獨特。
有與哪些設計師合作？,我們定期與在地設計師聯名推出限定商品。
會推出聯名商品嗎？,會的，敬請追蹤我們官方平台掌握最新消息。
商品是在哪裡生產的？,商品來源多元，包含日本、韓國、台灣、中國等地。
支援本地設計品牌嗎？,我們致力於支持本地創作，歡迎推薦合作。
有修改衣服尺寸服務嗎？,目前不提供修改服務，建議選購合適尺寸。
可以客製化印刷嗎？,部分商品支援客製印刷，請聯絡客服詢問細節。
可以提前預留商品嗎？,無法保留，請盡早完成訂購以保留庫存。
有包月/訂閱服務嗎？,目前尚未開放，未來將視需求規劃。
有沒有穿搭建議或顧問服務？,網站與社群平台提供穿搭建議，歡迎參考搭配靈感。
